,transcriptomic,proteomic,genomic,rna_prot_corr,score
SCAMP3,11.143051851851851,0.04402407407407406,0.008602150537634409,0.523156089193825,0.6014203284509543
ATP9A,11.26081851851852,0.025363461538461533,0.010752688172043012,,0.6005326231691077
CEP290,7.320588888888891,0.22592592592592592,0.010752688172043012,,0.6000887705281847
EPHX1,12.187675925925921,0.030083333333333337,0.008602150537634409,0.7987421383647798,0.5996449178872614
DLGAP4,11.706979629629629,0.08010370370370372,0.0064516129032258064,0.5597484276729559,0.5978695073235686
NUP160,10.130329629629626,0.051300000000000005,0.010752688172043012,0.20587002096436055,0.5960940967598757
MATR3,12.409407407407407,0.06496481481481482,0.0064516129032258064,0.42008766914427287,0.5956502441189525
GOLGB1,11.111672222222218,0.00456851851851852,0.023655913978494623,0.21440823327615777,0.5938748335552595
ERBB2,12.19636851851852,0.011005769230769232,0.010752688172043012,,0.5920994229915668
EWSR1,11.614438888888897,0.07865370370370371,0.0064516129032258064,0.29789018282869356,0.5912117177097204
CDK12,10.06676851851852,0.027618918918918912,0.03225806451612903,,0.588548601864181
SAP130,9.999374074074073,0.07659038461538462,0.008602150537634409,,0.5881047492232578
SYNE1,8.33384074074074,0.06545185185185186,0.03225806451612903,0.3528492471888698,0.5876608965823347
HEATR5B,9.223603703703704,0.12918260869565215,0.008602150537634409,,0.5867731913004881
ZNF462,8.883983333333335,0.07255652173913044,0.012903225806451613,,0.5863293386595649
STAG1,9.640281481481479,0.09366296296296296,0.008602150537634409,0.38936535162950253,0.5863293386595649
TTN,6.437044444444444,0.08299714285714284,0.1870967741935484,,0.5854416333777186
ITGA2B,4.962164814814815,0.1089421052631579,0.015053763440860216,,0.5852197070572569
DHX9,12.101399999999996,0.06499629629629629,0.0064516129032258064,0.41845661255193833,0.584110075454949
MECOM,11.22146851851852,0.08455200000000002,0.0064516129032258064,,0.584110075454949
PIK3CB,9.705907407407407,0.06112173913043478,0.010752688172043012,,0.5841100754549489
FBN2,6.862738888888889,0.09616296296296295,0.015053763440860216,0.6696016771488469,0.5830004438526408
TSC2,11.4705037037037,0.07848695652173913,0.0064516129032258064,,0.5827785175321792
CNTN1,5.984740740740741,0.12024545454545452,0.012903225806451613,,0.5814469596094096
CUX1,10.960735185185186,0.026435294117647057,0.010752688172043012,,0.5805592543275633
BIRC6,10.65186296296296,0.01769444444444445,0.015053763440860216,0.4127692014484467,0.5803373280071016
GSN,13.054851851851852,0.05364074074074074,0.0064516129032258064,0.3273870783304745,0.58011540168664
NAV1,9.646194444444445,0.08848333333333333,0.008602150537634409,,0.5796715490457167
KIF21A,8.62753148148148,0.07842499999999998,0.012903225806451613,,0.5787838437638704
RBBP6,10.28906111111111,0.059859259259259244,0.008602150537634409,0.21905850962454734,0.5787838437638704
MME,6.5869629629629625,0.17387391304347827,0.010752688172043012,,0.5770084332001775
DOPEY1,8.527831481481483,0.10119615384615385,0.010752688172043012,,0.5765645805592543
COL5A3,7.597303703703704,0.07278787878787879,0.021505376344086023,,0.5754549489569463
DNM2,11.982833333333335,0.02498518518518519,0.008602150537634409,0.7119115685153419,0.5743453173546382
SMARCA4,12.050874074074077,0.06222777777777777,0.0064516129032258064,0.27813988946064416,0.5734576120727918
MDN1,9.452855555555553,0.037205555555555554,0.025806451612903226,0.5350485991995425,0.5712383488681758
POLD2,11.329842592592591,0.07423148148148148,0.0064516129032258064,0.4904516866781017,0.5707944962272525
ITPR2,9.537746296296294,0.04132037037037037,0.015053763440860216,0.6955974842767295,0.570572569906791
SETDB1,10.589212962962963,0.11405744680851063,0.0064516129032258064,,0.5703506435863293
CELSR1,11.52575,0.06905666666666668,0.0064516129032258064,,0.5699067909454061
LAMA1,7.022394444444444,0.07613720930232559,0.023655913978494623,,0.5699067909454061
COL4A1,12.189998148148147,0.003146296296296292,0.010752688172043012,0.1607394701734324,0.5690190856635596
PTEN,10.69419074074074,0.02810833333333333,0.010752688172043012,,0.5685752330226365
SIPA1L1,10.834009259259258,0.01495294117647058,0.012903225806451613,,0.5685752330226365
ARHGEF1,10.440953703703705,0.03336296296296296,0.010752688172043012,0.6380407852105965,0.5685752330226364
SPTAN1,12.797203703703703,0.015168518518518515,0.008602150537634409,0.13958718483924198,0.5681313803817132
SRRM1,11.053424074074075,0.08285925925925924,0.0064516129032258064,0.1977129788450543,0.5672436750998668
ADAMTSL1,5.9087407407407415,0.15980624999999998,0.010752688172043012,,0.5672436750998668
TNIK,7.202837037037036,0.13072,0.010752688172043012,,0.5667998224589437
TNXB,7.475253703703703,0.6049925925925925,0.008602150537634409,0.5881837240327805,0.5663559698180204
CDH2,9.71776111111111,0.0783648148148148,0.008602150537634409,0.761006289308176,0.5663559698180204
TARBP1,9.38044074074074,0.09340645161290322,0.008602150537634409,,0.5659121171770971
HMCN1,8.117998148148148,0.058795555555555545,0.04946236559139785,,0.5641367066134043
TRA2B,11.74811481481482,0.0627037037037037,0.0064516129032258064,0.4788641128263769,0.5632490013315579
EIF2B5,9.91199814814815,0.03125185185185185,0.015053763440860216,0.45850962454736033,0.5630270750110963
TRIOBP,10.522342592592597,0.013166037735849052,0.017204301075268817,,0.5628051486906347
